Protein,PPV,Beff,Length,TMscore
1W8AA,0.566,17.0,189,0.000
1W9GB,0.354,3.0,201,0.000
1WD5A,0.540,1.0,205,0.000
1WIGA,0.258,1.0,1460,0.000
1WPVB,0.370,1.0,441,0.000
1X0PJ,0.066,1.0,1399,0.000
1X48A,0.298,1.0,1760,0.000
1X8HA,0.531,1.0,227,0.000
1X91A,0.520,1.0,149,0.000
1XBAA,0.580,1.0,266,0.000
1XQFA,0.473,1.0,362,0.000
1XS6A,0.463,1.0,1158,0.000
1Y4HD,0.129,2.0,564,0.000
1Y60C,0.100,1.0,841,0.000
1YG6F,0.421,6.0,2618,0.000
1YHQO,0.477,128.0,3775,0.000
1YQFF,0.390,1.0,1083,0.000
1YWSA,0.223,2.0,1640,0.000
1Z7ME,0.271,1.0,2048,0.000
1ZD7B,0.346,1.0,316,0.000
1ZJ0A,0.298,1.0,265,0.000
1ZWYC,0.518,1.0,669,0.000
2A84A,0.555,1.0,277,0.000
2A9KB,0.291,1.0,377,0.000
2AMCA,0.195,1.0,1051,0.000
2AV5D,0.477,1.0,530,0.000
2B9NX,0.560,19.0,3077,0.000
2BWEL,0.227,1.0,1047,0.000
2C2OA,0.347,5.0,252,0.000
2CB6A,0.238,1.0,3833,0.000
2CCCA,0.636,60.0,64,0.000
2CDMC,0.508,2.0,552,0.000
2CJRB,0.245,1.0,895,0.000
2CSMA,0.080,1.0,245,0.000
2D0PB,0.141,1.0,1430,0.000
2D2CN,0.151,17.0,1828,0.000
2DIOC,0.348,1.0,519,0.000
2E2AB,0.489,1.0,307,0.000
2EJNA,0.081,1.0,291,0.000
2F0RA,0.338,1.0,286,0.000
2FJCO,0.463,1.0,2416,0.000
2GVIA,0.375,1.0,195,0.000
2H44A,0.334,1.0,326,0.000
2HGHA,0.177,3.0,1740,0.000
2HI7B,0.216,25.0,322,0.000
2HJJA,0.153,1.0,1320,0.000
2HL0A,0.402,16.0,143,0.000
2I9LI,0.168,19.0,2444,0.000
2IA9E,0.504,1.0,530,0.000
2II9B,0.405,1.0,371,0.000
2J1KQ,0.159,1.0,3623,0.000
2J3WA,0.229,1.0,926,0.000
2J8WB,0.514,1.0,256,0.000
2JOVA,0.365,1.0,1700,0.000
2JYNA,0.156,1.0,2920,0.000
2KYSA,0.157,1.0,1700,0.000
2KZSA,0.104,1.0,2350,0.000
2M0MB,0.117,1.0,2140,0.000
2NQ2A,0.306,1.0,1107,0.000
2NR9A,0.482,1.0,192,0.000
2OF5H,0.210,24.0,1137,0.000
2OGFD,0.383,1.0,474,0.000
2OHCA,0.341,1.0,577,0.000
2OJ5C,0.229,1.0,971,0.000
2ONKC,0.213,1.0,2589,0.000
2OPIA,0.549,1.0,400,0.000
2PAVP,0.233,2.0,513,0.000
2PLSF,0.530,1.0,991,0.000
2Q7RA,0.277,-1.0,856,0.000
2QQDE,0.277,4.0,935,0.000
2QYFD,0.110,3.0,768,0.000
2RDOL,0.441,5.0,4470,0.000
2RMRA,0.174,152.0,1420,0.000
2RTBB,0.481,1.0,244,0.000
2VGRA,0.328,1.0,847,0.000
2VT8A,0.482,5.0,282,0.000
2WNKA,0.309,1.0,223,0.000
2WNYA,0.481,1.0,273,0.000
2XVTF,0.171,27.0,469,0.000
2Y9PB,0.241,1.0,290,0.000
2YADB,0.358,3.0,452,0.000
2YZOA,0.440,1.0,447,0.000
2ZITD,0.125,1.0,3087,0.000
3A1JB,0.259,1.0,775,0.000
3ANZW,0.221,1.0,8243,0.000
3AXGI,0.388,1.0,5158,0.000
3B2UB,0.162,1.0,4984,0.000
3B71B,0.181,11.0,443,0.000
3B7AA,0.439,6.0,248,0.000
3BLAB,0.224,1.0,575,0.000
3BP9B,0.191,1.0,3063,0.000
3CPWT,0.613,3.0,3705,0.000
3CVZC,0.142,1.0,976,0.000
3CXJC,0.382,1.0,552,0.000
3D2QD,0.294,4.0,268,0.000
3DBYF,0.343,1.0,5238,0.000
3DKXB,0.361,19.0,605,0.000
3EB6B,0.429,7.0,213,0.000
3EW1A,0.397,1.0,802,0.000
3G74B,0.326,85.0,668,0.000
3GUVA,0.592,1.0,149,0.000
3GYVA,0.446,2.0,187,0.000
3GZFC,0.153,1.0,456,0.000
3H8DB,0.161,24.0,614,0.000
3H90A,0.474,1.0,1132,0.000
3HPGL,0.079,58.0,1607,0.000
3HTYJ,0.520,1.0,1429,0.000
3I9OB,0.182,1.0,502,0.000
3IQZF,0.134,1.0,1692,0.000
3K43B,0.436,4.0,286,0.000
3K8RB,0.545,1.0,164,0.000
3KZLA,0.467,1.0,1026,0.000
3LW5L,0.146,13.0,3182,0.000
3M71A,0.437,1.0,308,0.000
3MEZA,0.360,1.0,446,0.000
3N1GA,0.184,1.0,505,0.000
3NJSA,0.305,1.0,246,0.000
3O7JA,0.440,1.0,166,0.000
3OFEB,0.279,42.0,155,0.000
3OQIA,0.277,1.0,443,0.000
3P45J,0.170,1.0,1608,0.000
3PC7B,0.600,33.0,156,0.000
3RBYB,0.417,1.0,490,0.000
3T3TB,0.446,3.0,480,0.000
3UD2B,0.241,1.0,951,0.000
3UWSA,0.203,1.0,676,0.000
3UYUB,0.387,1.0,457,0.000
3V3LB,0.618,9.0,164,0.000
3VHHB,0.501,1.0,488,0.000
3VX6A,0.252,1.0,265,0.000
3ZNUG,0.504,4.0,932,0.000
3ZUXA,0.336,1.0,308,0.000
4A5ZB,0.380,1.0,612,0.000
4AI3A,0.236,1.0,258,0.000
4ARDB,0.218,27.0,232,0.000
4AU0B,0.368,2.0,726,0.000
4DLHB,0.465,1.0,351,0.000
4E1YB,0.324,1.0,706,0.000
4E6FA,0.446,1.0,334,0.000
4F0DA,0.272,1.0,405,0.000
4HBRC,0.518,17.0,539,0.000
4IOSH,0.240,3.0,861,0.000
4IZJC,0.176,2.0,1007,0.000
4J32B,0.177,3.0,258,0.000
